epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,12447.4,1.54659,1.18596,1.00826,0.37345,0.28225,0.27009,0.15235,1.46173,1.11686,0.97211,0.008515,0.008515,0.008515
62,12651.2,1.55051,1.19395,1.01068,0.3711,0.28519,0.26902,0.15246,1.45446,1.11264,0.9696,0.00849025,0.00849025,0.00849025
63,12854.6,1.54089,1.18681,1.00389,0.37494,0.28398,0.2685,0.15156,1.45619,1.11322,0.96933,0.0084655,0.0084655,0.0084655
64,13058.1,1.54612,1.18586,1.00944,0.37592,0.28157,0.2704,0.15334,1.45919,1.11017,0.97231,0.00844075,0.00844075,0.00844075
65,13262,1.54062,1.18043,1.0075,0.38419,0.28248,0.27258,0.15478,1.45765,1.10628,0.97218,0.008416,0.008416,0.008416
66,13465.9,1.54388,1.18534,1.00578,0.37743,0.28443,0.2724,0.15433,1.4531,1.10498,0.97005,0.00839125,0.00839125,0.00839125
67,13669.2,1.53599,1.17855,1.00555,0.37791,0.28414,0.27411,0.15594,1.44928,1.10144,0.96703,0.0083665,0.0083665,0.0083665
68,13873.2,1.53359,1.16912,1.00289,0.37502,0.28825,0.27378,0.15495,1.44989,1.10021,0.96652,0.00834175,0.00834175,0.00834175
69,14077.3,1.53507,1.17298,1.0026,0.37714,0.28915,0.27408,0.15507,1.44405,1.09827,0.96536,0.008317,0.008317,0.008317
70,14280.4,1.51833,1.15704,0.99971,0.38026,0.28616,0.27659,0.15706,1.44556,1.09424,0.96566,0.00829225,0.00829225,0.00829225
71,14484.3,1.52534,1.16993,0.99942,0.37722,0.29047,0.27772,0.15781,1.4417,1.09351,0.96511,0.0082675,0.0082675,0.0082675
72,14688.5,1.53535,1.17067,1.00136,0.37399,0.29196,0.27574,0.15762,1.43839,1.0925,0.96385,0.00824275,0.00824275,0.00824275
73,14892.2,1.52053,1.16676,0.99861,0.38629,0.28511,0.27777,0.15887,1.43721,1.09256,0.96405,0.008218,0.008218,0.008218
74,15096.1,1.52707,1.16151,0.9983,0.37571,0.29173,0.27949,0.15942,1.43669,1.08999,0.96326,0.00819325,0.00819325,0.00819325
75,15300.5,1.52166,1.16423,0.99862,0.38084,0.29234,0.28106,0.15972,1.43492,1.08514,0.96314,0.0081685,0.0081685,0.0081685
76,15504.6,1.52028,1.15565,0.99739,0.38518,0.29044,0.28049,0.1593,1.43534,1.0846,0.96342,0.00814375,0.00814375,0.00814375
77,15708.3,1.51753,1.15095,0.99673,0.38828,0.2908,0.28357,0.16114,1.43177,1.07984,0.96282,0.008119,0.008119,0.008119
78,15913.1,1.50681,1.14322,0.99463,0.38443,0.29353,0.28293,0.1619,1.42865,1.07941,0.96232,0.00809425,0.00809425,0.00809425
79,16116.9,1.5055,1.14381,0.99445,0.38589,0.29593,0.28388,0.16234,1.42524,1.07784,0.96109,0.0080695,0.0080695,0.0080695
80,16320.6,1.51568,1.14776,0.99675,0.39608,0.29076,0.28448,0.1627,1.42554,1.07421,0.96056,0.00804475,0.00804475,0.00804475
81,16524.5,1.51109,1.13936,0.99454,0.39025,0.29502,0.285,0.16199,1.42279,1.07427,0.95963,0.00802,0.00802,0.00802
82,16728.5,1.50819,1.14064,0.9941,0.40158,0.29355,0.28706,0.16383,1.42027,1.07028,0.95845,0.00799525,0.00799525,0.00799525
83,16932.9,1.50893,1.13802,0.99355,0.408,0.2922,0.28764,0.16461,1.41894,1.06923,0.95841,0.0079705,0.0079705,0.0079705
84,17137.1,1.50828,1.13648,0.99309,0.39539,0.29597,0.28845,0.16465,1.41704,1.06649,0.95789,0.00794575,0.00794575,0.00794575
85,17341.7,1.50723,1.13824,0.9929,0.39542,0.2973,0.28811,0.164,1.41704,1.06762,0.9582,0.007921,0.007921,0.007921
86,17546,1.50328,1.13248,0.99137,0.39395,0.3006,0.28837,0.16445,1.41803,1.0648,0.95786,0.00789625,0.00789625,0.00789625
87,17750.3,1.49932,1.12931,0.99203,0.39671,0.29631,0.28877,0.1649,1.41614,1.06401,0.95666,0.0078715,0.0078715,0.0078715
88,17955,1.49651,1.12752,0.9922,0.39445,0.30112,0.28997,0.16534,1.41297,1.06152,0.9563,0.00784675,0.00784675,0.00784675
89,18159.9,1.49716,1.12644,0.99013,0.39581,0.30178,0.29031,0.16545,1.41294,1.06103,0.95701,0.007822,0.007822,0.007822
90,18363.5,1.49317,1.12718,0.98871,0.39732,0.29401,0.289,0.16598,1.41444,1.06086,0.95795,0.00779725,0.00779725,0.00779725
91,18567.5,1.49682,1.12425,0.99069,0.39509,0.29872,0.29025,0.16661,1.41206,1.05946,0.95747,0.0077725,0.0077725,0.0077725
92,18771.8,1.49993,1.12405,0.99132,0.39266,0.30102,0.29262,0.16746,1.41127,1.05529,0.9567,0.00774775,0.00774775,0.00774775
93,18976.1,1.48887,1.11924,0.98937,0.39288,0.29963,0.29327,0.16748,1.41067,1.05389,0.95579,0.007723,0.007723,0.007723
94,19180.2,1.49221,1.12015,0.99039,0.39259,0.30149,0.29294,0.16782,1.41086,1.05527,0.95619,0.00769825,0.00769825,0.00769825
95,19383.5,1.48121,1.11285,0.9866,0.39255,0.30285,0.29367,0.16783,1.4094,1.05419,0.95581,0.0076735,0.0076735,0.0076735
96,19587.6,1.486,1.11233,0.98859,0.38766,0.3036,0.29328,0.16767,1.40775,1.05354,0.95522,0.00764875,0.00764875,0.00764875
97,19791.5,1.48116,1.11324,0.98476,0.38896,0.3022,0.29336,0.16784,1.40669,1.05383,0.95566,0.007624,0.007624,0.007624
98,19995.2,1.49132,1.10923,0.98586,0.3961,0.29992,0.2941,0.16834,1.40384,1.05126,0.95474,0.00759925,0.00759925,0.00759925
99,20199.4,1.4825,1.10567,0.98791,0.39726,0.30348,0.29467,0.16923,1.40277,1.04947,0.95382,0.0075745,0.0075745,0.0075745
100,20403.7,1.4874,1.10781,0.98248,0.39674,0.30408,0.29521,0.16965,1.40206,1.04914,0.95365,0.00754975,0.00754975,0.00754975
101,20607.7,1.4857,1.11077,0.98497,0.40308,0.30275,0.29715,0.17045,1.40141,1.04721,0.95333,0.007525,0.007525,0.007525
102,20811.4,1.48717,1.11329,0.98855,0.3985,0.3039,0.29709,0.17031,1.40111,1.04674,0.9531,0.00750025,0.00750025,0.00750025
103,21014.8,1.47745,1.10157,0.98571,0.40295,0.30355,0.29769,0.17056,1.39989,1.04503,0.95314,0.0074755,0.0074755,0.0074755
104,21218.9,1.4781,1.09965,0.98598,0.40686,0.30422,0.29874,0.17125,1.3991,1.04241,0.95282,0.00745075,0.00745075,0.00745075
105,21422.8,1.47395,1.09874,0.98508,0.40603,0.30954,0.29911,0.17126,1.39667,1.04066,0.95225,0.007426,0.007426,0.007426
106,21626.5,1.48189,1.09738,0.98494,0.40924,0.30754,0.2998,0.17145,1.39663,1.04003,0.95235,0.00740125,0.00740125,0.00740125
107,21830,1.46851,1.09844,0.98219,0.40533,0.30853,0.30028,0.17184,1.39535,1.03917,0.95206,0.0073765,0.0073765,0.0073765
