epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,14200.8,1.57036,1.22494,0.98515,0.3603,0.286,0.26814,0.14964,1.47935,1.14063,0.95773,0.00814375,0.00814375,0.00814375
77,14389.1,1.57238,1.22706,0.98561,0.36701,0.2844,0.26944,0.15035,1.47811,1.13832,0.95745,0.008119,0.008119,0.008119
78,14576.2,1.56573,1.22456,0.98292,0.36739,0.28579,0.27139,0.15108,1.4763,1.13602,0.95695,0.00809425,0.00809425,0.00809425
79,14764.9,1.56455,1.22668,0.98224,0.36924,0.28744,0.27171,0.15273,1.47374,1.13325,0.95561,0.0080695,0.0080695,0.0080695
80,14953.6,1.56949,1.22557,0.98058,0.37075,0.28347,0.27057,0.15167,1.47178,1.13187,0.95506,0.00804475,0.00804475,0.00804475
81,15141.1,1.56252,1.22002,0.98158,0.36917,0.28502,0.27223,0.15315,1.46848,1.12954,0.95319,0.00802,0.00802,0.00802
82,15328.6,1.56337,1.21198,0.9775,0.36499,0.28922,0.27103,0.15146,1.46776,1.12963,0.95311,0.00799525,0.00799525,0.00799525
83,15516.1,1.55148,1.20696,0.97573,0.36304,0.28749,0.27304,0.15272,1.46638,1.1265,0.95176,0.0079705,0.0079705,0.0079705
84,15702.8,1.56338,1.2156,0.97626,0.3712,0.28712,0.27254,0.15293,1.46501,1.12851,0.95157,0.00794575,0.00794575,0.00794575
85,15890.1,1.54888,1.20825,0.97282,0.37447,0.28617,0.27366,0.15313,1.46235,1.12725,0.95039,0.007921,0.007921,0.007921
86,16078.8,1.55472,1.21102,0.97416,0.37654,0.29187,0.27629,0.15434,1.46011,1.12403,0.94905,0.00789625,0.00789625,0.00789625
87,16268.2,1.55053,1.20654,0.97613,0.37145,0.29177,0.27483,0.15399,1.46094,1.11975,0.94943,0.0078715,0.0078715,0.0078715
88,16455.8,1.55216,1.20532,0.97519,0.37913,0.28782,0.27783,0.15573,1.45962,1.11862,0.94848,0.00784675,0.00784675,0.00784675
89,16644.8,1.55707,1.21295,0.97388,0.37364,0.28887,0.27767,0.15541,1.45294,1.11555,0.9479,0.007822,0.007822,0.007822
90,16832.7,1.54143,1.2013,0.97408,0.38073,0.28604,0.27623,0.15479,1.45165,1.11648,0.94731,0.00779725,0.00779725,0.00779725
