epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,15413.4,1.45495,1.07791,0.9802,0.40289,0.30676,0.2977,0.17101,1.37779,1.02248,0.94928,0.006601,0.006601,0.006601
105,15562.4,1.45212,1.07536,0.98075,0.40254,0.30804,0.29807,0.1717,1.37711,1.02047,0.94906,0.006568,0.006568,0.006568
106,15711.1,1.45818,1.07769,0.97853,0.40183,0.30968,0.29887,0.17139,1.37776,1.02003,0.9492,0.006535,0.006535,0.006535
107,15860.1,1.45594,1.07333,0.97938,0.39644,0.30937,0.3001,0.17183,1.37614,1.01803,0.94855,0.006502,0.006502,0.006502
108,16008.6,1.44622,1.07481,0.97945,0.4015,0.31179,0.30129,0.17289,1.37556,1.01774,0.94836,0.006469,0.006469,0.006469
109,16157.5,1.45196,1.06858,0.97979,0.39945,0.31317,0.30128,0.17216,1.3756,1.01585,0.9488,0.006436,0.006436,0.006436
110,16305.6,1.44732,1.06641,0.97634,0.39848,0.31105,0.3015,0.17242,1.3739,1.0145,0.9482,0.006403,0.006403,0.006403
111,16454.9,1.4469,1.06835,0.97714,0.39737,0.31432,0.3028,0.1733,1.37146,1.01258,0.94763,0.00637,0.00637,0.00637
112,16604,1.44182,1.06413,0.97353,0.39676,0.3144,0.30228,0.17376,1.37043,1.01231,0.94745,0.006337,0.006337,0.006337
113,16753.2,1.4512,1.0693,0.97676,0.40765,0.30959,0.30317,0.17407,1.37002,1.01265,0.94711,0.006304,0.006304,0.006304
114,16902,1.44031,1.06234,0.97408,0.40021,0.31246,0.30319,0.1745,1.36959,1.01162,0.9468,0.006271,0.006271,0.006271
115,17050.5,1.44054,1.05553,0.97354,0.40532,0.31282,0.30411,0.17457,1.36913,1.01067,0.94658,0.006238,0.006238,0.006238
116,17198.9,1.44045,1.0601,0.97304,0.40564,0.31369,0.3047,0.17528,1.36773,1.00994,0.94615,0.006205,0.006205,0.006205
117,17347.3,1.44104,1.06261,0.97817,0.40186,0.31454,0.30602,0.1755,1.3675,1.00943,0.94591,0.006172,0.006172,0.006172
118,17496.2,1.44152,1.06178,0.97548,0.40073,0.31252,0.30573,0.1755,1.36605,1.00911,0.94539,0.006139,0.006139,0.006139
119,17644.8,1.44269,1.06025,0.97333,0.39867,0.3127,0.30542,0.17583,1.36685,1.00809,0.94566,0.006106,0.006106,0.006106
120,17793.3,1.43521,1.05194,0.97274,0.40065,0.31418,0.30543,0.17573,1.36554,1.00645,0.94514,0.006073,0.006073,0.006073
