                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.4755,                 1.2134,                 1.7832,                0.67791,                0.71527,                0.72476,                0.46106,                 1.4309,                  1.227,                 1.7917,             0.00089141,             0.00089141,             0.00089141
                     79,                 1.4323,                 1.1565,                 1.8043,                0.61535,                0.66748,                 0.7079,                0.45221,                 1.4901,                 1.2033,                 1.7602,             0.00088434,             0.00088434,             0.00088434
                     80,                  1.482,                 1.2103,                 1.8255,                0.97131,                0.55328,                0.62055,                 0.4077,                 1.4719,                 1.3226,                 1.8196,             0.00087726,             0.00087726,             0.00087726
                     81,                 1.4676,                 1.1786,                 1.7902,                0.99603,                 0.5573,                0.71693,                 0.4598,                 1.4259,                 1.3508,                 1.7596,             0.00087019,             0.00087019,             0.00087019
                     82,                 1.4459,                 1.1383,                 1.7908,                0.96771,                 0.6075,                0.65376,                0.41197,                 1.5478,                 1.2765,                 1.8718,             0.00086312,             0.00086312,             0.00086312
                     83,                 1.4562,                  1.198,                 1.7678,                0.60029,                0.62984,                0.63853,                0.40238,                 1.6151,                 1.4703,                 1.9051,             0.00085604,             0.00085604,             0.00085604
                     84,                 1.4868,                 1.1972,                 1.8417,                0.94851,                0.55641,                0.68727,                0.40031,                 1.6549,                 1.3423,                 1.9059,             0.00084897,             0.00084897,             0.00084897
                     85,                 1.4574,                 1.1663,                 1.7951,                0.99551,                0.57768,                0.70935,                0.46105,                 1.4091,                 1.1162,                 1.7501,              0.0008419,              0.0008419,              0.0008419
                     86,                 1.4341,                 1.1471,                 1.7847,                0.98339,                0.59103,                0.68087,                0.44677,                 1.4824,                 1.3263,                 1.8282,             0.00083482,             0.00083482,             0.00083482
                     87,                 1.3644,                 1.1629,                 1.7408,                0.84454,                0.68774,                0.74669,                0.47648,                 1.4223,                 1.2376,                 1.7475,             0.00082775,             0.00082775,             0.00082775
                     88,                 1.3793,                 1.1144,                  1.716,                0.73299,                0.65082,                0.68648,                0.46746,                 1.4049,                 1.2622,                 1.7958,             0.00082067,             0.00082067,             0.00082067
                     89,                  1.387,                 1.1313,                 1.6995,                0.67163,                0.62902,                0.69707,                0.47156,                 1.3761,                 1.1646,                 1.6876,              0.0008136,              0.0008136,              0.0008136
                     90,                 1.3839,                 1.1084,                 1.7256,                 0.9447,                0.62673,                0.68964,                 0.4548,                 1.4557,                 1.1248,                 1.7114,             0.00080653,             0.00080653,             0.00080653
                     91,                  1.388,                 1.0793,                 1.7024,                0.61583,                0.63134,                0.66041,                 0.4669,                  1.372,                 1.1866,                 1.6933,             0.00079945,             0.00079945,             0.00079945
                     92,                 1.3596,                 1.0802,                  1.712,                 0.6926,                0.65105,                0.70759,                0.47813,                 1.4146,                 1.0825,                 1.7253,             0.00079238,             0.00079238,             0.00079238
                     93,                 1.3151,                 1.0341,                 1.6391,                0.78351,                0.68112,                0.71258,                0.47607,                  1.495,                 1.0774,                  1.737,             0.00078531,             0.00078531,             0.00078531
                     94,                 1.3085,                 1.0476,                 1.6879,                0.98117,                0.59784,                0.69244,                0.46048,                 1.3763,                 1.1194,                 1.6707,             0.00077823,             0.00077823,             0.00077823
                     95,                 1.2864,                 1.0331,                 1.6306,                0.99905,                0.58925,                0.65357,                0.45754,                 1.4338,                 1.1381,                  1.683,             0.00077116,             0.00077116,             0.00077116
                     96,                 1.3216,                 1.0648,                 1.6564,                0.96705,                0.62436,                 0.6548,                0.47441,                 1.4109,                 1.1033,                 1.7021,             0.00076409,             0.00076409,             0.00076409
                     97,                 1.3475,                 1.0289,                 1.6865,                0.95335,                0.57436,                  0.657,                0.44269,                 1.4278,                 1.0808,                 1.6959,             0.00075701,             0.00075701,             0.00075701
                     98,                 1.3362,                 1.0398,                 1.6762,                 0.9889,                0.55769,                0.64726,                0.45222,                 1.4409,                  1.198,                 1.6989,             0.00074994,             0.00074994,             0.00074994
                     99,                 1.3228,                 1.0105,                 1.6229,                0.58006,                0.63333,                 0.6688,                0.46687,                 1.4088,                 1.0941,                 1.6814,             0.00074287,             0.00074287,             0.00074287
                    100,                 1.2774,                 1.0283,                  1.646,                0.96934,                0.60277,                 0.7089,                0.43415,                  1.492,                 1.0949,                  1.697,             0.00073579,             0.00073579,             0.00073579
                    101,                 1.3244,                 1.0063,                 1.6246,                0.75133,                0.68497,                0.71781,                0.48472,                 1.3019,                 1.0035,                 1.6622,             0.00072872,             0.00072872,             0.00072872
                    102,                  1.315,                  1.012,                 1.6426,                0.99714,                0.60769,                0.67217,                0.44456,                 1.4307,                 1.1448,                 1.7246,             0.00072164,             0.00072164,             0.00072164
                    103,                   1.31,                0.95431,                 1.6346,                0.75271,                0.69134,                0.71307,                 0.4664,                 1.4292,                 1.0346,                 1.6817,             0.00071457,             0.00071457,             0.00071457
                    104,                 1.2887,                0.96433,                 1.6355,                0.71199,                0.63736,                 0.7322,                0.48406,                  1.378,                 1.0425,                 1.6569,              0.0007075,              0.0007075,              0.0007075
                    105,                 1.2408,                0.95546,                 1.5903,                0.75311,                0.71336,                0.74287,                0.49611,                 1.3227,                0.98393,                  1.618,             0.00070042,             0.00070042,             0.00070042
                    106,                 1.2392,                0.95234,                 1.5999,                0.65472,                0.67792,                0.70596,                0.46367,                  1.503,                 1.1506,                 1.7025,             0.00069335,             0.00069335,             0.00069335
                    107,                 1.2608,                0.94706,                 1.5969,                0.67255,                0.68112,                0.70111,                0.48156,                  1.394,                 1.0334,                 1.6551,             0.00068628,             0.00068628,             0.00068628
                    108,                 1.2433,                0.91739,                 1.5715,                 0.6323,                0.68112,                0.69343,                0.48223,                 1.3588,                 1.0319,                 1.6191,              0.0006792,              0.0006792,              0.0006792
                    109,                 1.2163,                0.93292,                 1.5733,                0.67697,                0.66155,                0.70109,                0.46664,                 1.3927,                 1.0296,                 1.6428,             0.00067213,             0.00067213,             0.00067213
                    110,                  1.193,                0.93079,                 1.5517,                0.62801,                0.69716,                0.69411,                0.48425,                 1.3407,                0.99287,                 1.6185,             0.00066506,             0.00066506,             0.00066506
                    111,                 1.2807,                0.95674,                 1.5684,                0.72183,                0.71527,                0.72825,                0.47039,                 1.3982,                 1.0183,                 1.6423,             0.00065798,             0.00065798,             0.00065798
                    112,                 1.2231,                0.89362,                 1.5918,                 0.7466,                0.74172,                0.72853,                0.49682,                 1.3116,                 1.0697,                 1.6338,             0.00065091,             0.00065091,             0.00065091
                    113,                 1.2449,                 0.8961,                 1.5471,                0.84594,                0.69476,                0.74179,                0.46456,                 1.3934,                 1.0751,                 1.6412,             0.00064384,             0.00064384,             0.00064384
                    114,                 1.2186,                0.89263,                 1.5868,                  0.909,                 0.6803,                0.73298,                0.48842,                 1.3014,                 1.0324,                 1.6359,             0.00063676,             0.00063676,             0.00063676
                    115,                 1.1956,                0.87994,                 1.5432,                0.85865,                0.66664,                0.72065,                0.48615,                  1.406,                 1.0481,                 1.6441,             0.00062969,             0.00062969,             0.00062969
                    116,                 1.1965,                  0.906,                 1.5551,                0.84497,                 0.6986,                0.73887,                0.49189,                 1.3077,                0.99512,                 1.5993,             0.00062262,             0.00062262,             0.00062262
                    117,                 1.1813,                0.88163,                 1.5633,                0.82915,                0.71732,                0.75407,                0.47578,                 1.3844,                 1.0007,                 1.6511,             0.00061554,             0.00061554,             0.00061554
                    118,                 1.1671,                0.89258,                 1.5425,                0.84248,                 0.6932,                0.71436,                0.48082,                 1.3731,                 1.0062,                 1.6441,             0.00060847,             0.00060847,             0.00060847
                    119,                 1.1892,                0.88708,                 1.5354,                0.86347,                0.65976,                 0.7386,                0.48894,                 1.3792,                 1.0017,                 1.6106,             0.00060139,             0.00060139,             0.00060139
                    120,                  1.146,                0.86247,                 1.5228,                0.83384,                0.68497,                0.72942,                0.50552,                 1.3597,                0.97064,                 1.6503,             0.00059432,             0.00059432,             0.00059432
                    121,                 1.1633,                0.84541,                 1.5229,                0.84785,                0.71142,                0.74182,                0.50826,                 1.3481,                0.99008,                 1.6463,             0.00058725,             0.00058725,             0.00058725
                    122,                  1.121,                0.88222,                 1.4977,                 0.8736,                0.72333,                0.74196,                0.50432,                 1.3199,                 1.0126,                 1.6457,             0.00058017,             0.00058017,             0.00058017
                    123,                 1.1535,                0.86467,                 1.5369,                0.81812,                0.68112,                0.73632,                 0.4943,                 1.3185,                 1.0398,                  1.605,              0.0005731,              0.0005731,              0.0005731
                    124,                 1.1373,                0.83375,                 1.4807,                0.85114,                0.72616,                0.76385,                0.50023,                  1.373,                0.92746,                  1.642,             0.00056603,             0.00056603,             0.00056603
                    125,                  1.108,                0.81029,                 1.4873,                0.86451,                0.74172,                0.76576,                0.51537,                 1.3011,                0.90911,                 1.5901,             0.00055895,             0.00055895,             0.00055895
                    126,                 1.1389,                 0.8196,                  1.484,                0.82765,                0.78869,                0.76918,                0.49197,                  1.352,                0.92887,                 1.6214,             0.00055188,             0.00055188,             0.00055188
