                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                 1.3064,                 1.0473,                 1.6686,                0.80671,                0.64184,                0.68877,                0.48377,                 1.3838,                  1.067,                 1.7328,             0.00079238,             0.00079238,             0.00079238
                     93,                 1.2968,                 1.0079,                 1.6373,                0.77529,                0.65082,                0.68014,                 0.4723,                 1.4232,                 1.1123,                 1.7135,             0.00078531,             0.00078531,             0.00078531
                     94,                 1.2187,                 0.9604,                  1.618,                0.81453,                0.68352,                0.68918,                0.47643,                 1.3021,                  1.093,                 1.6107,             0.00077823,             0.00077823,             0.00077823
                     95,                 1.2195,                0.94374,                 1.5741,                0.78745,                  0.638,                0.66863,                 0.4737,                 1.3411,                  1.234,                 1.6633,             0.00077116,             0.00077116,             0.00077116
                     96,                  1.232,                0.97799,                 1.5921,                0.66553,                0.64633,                0.68135,                0.48363,                 1.3056,                 1.2322,                 1.6333,             0.00076409,             0.00076409,             0.00076409
                     97,                 1.2702,                0.95933,                 1.6371,                0.94826,                0.63718,                0.69176,                 0.4817,                 1.3208,                 1.2008,                  1.664,             0.00075701,             0.00075701,             0.00075701
                     98,                 1.2882,                0.97936,                   1.62,                 0.7092,                0.64229,                0.65692,                0.46763,                 1.3701,                 1.2164,                 1.6319,             0.00074994,             0.00074994,             0.00074994
                     99,                 1.2308,                0.92055,                  1.553,                0.67979,                0.67739,                0.69852,                0.49519,                 1.2736,                 1.0905,                 1.6161,             0.00074287,             0.00074287,             0.00074287
                    100,                  1.252,                0.91413,                 1.6455,                0.64817,                 0.6685,                0.66897,                0.45672,                 1.4182,                 1.0017,                 1.7041,             0.00073579,             0.00073579,             0.00073579
                    101,                 1.2225,                0.94767,                  1.582,                0.62798,                 0.6803,                0.69798,                0.48289,                 1.3184,                0.97296,                 1.6486,             0.00072872,             0.00072872,             0.00072872
                    102,                  1.226,                0.91354,                 1.5752,                0.86792,                0.65412,                0.69432,                0.48318,                 1.3865,                0.99791,                 1.6983,             0.00072164,             0.00072164,             0.00072164
                    103,                 1.2024,                 0.9034,                 1.5691,                0.84793,                0.63415,                0.69156,                0.50507,                 1.3555,                 1.0697,                 1.6603,             0.00071457,             0.00071457,             0.00071457
                    104,                 1.2013,                0.90953,                 1.5619,                0.77825,                0.67133,                0.69115,                0.49602,                 1.3478,                 1.0332,                 1.6293,              0.0007075,              0.0007075,              0.0007075
                    105,                 1.1936,                0.87782,                 1.5435,                0.86291,                0.66168,                0.68982,                0.50307,                 1.2829,                 1.0155,                  1.607,             0.00070042,             0.00070042,             0.00070042
                    106,                 1.2328,                0.90151,                 1.5818,                0.85372,                0.67633,                0.70273,                 0.4866,                 1.2726,                  1.037,                 1.5649,             0.00069335,             0.00069335,             0.00069335
                    107,                 1.1795,                0.88841,                 1.5413,                0.89796,                0.71285,                0.74517,                0.50621,                  1.325,                 1.0152,                 1.6246,             0.00068628,             0.00068628,             0.00068628
                    108,                 1.2021,                0.86142,                 1.5229,                0.70063,                 0.7022,                0.70887,                0.50422,                 1.3637,                0.98687,                 1.6958,              0.0006792,              0.0006792,              0.0006792
                    109,                 1.1694,                0.87675,                 1.5478,                0.88208,                0.65082,                0.68062,                0.49672,                 1.3124,                0.98015,                 1.6214,             0.00067213,             0.00067213,             0.00067213
                    110,                 1.1828,                0.86694,                 1.5563,                0.79696,                0.71445,                0.71773,                0.50491,                 1.2554,                0.90057,                 1.5616,             0.00066506,             0.00066506,             0.00066506
                    111,                   1.18,                0.86533,                 1.5355,                0.82204,                0.75576,                0.74768,                0.51465,                 1.2331,                0.95715,                 1.5719,             0.00065798,             0.00065798,             0.00065798
                    112,                 1.1872,                0.86632,                 1.5677,                0.73751,                0.72727,                0.69452,                0.50567,                 1.2216,                 0.9734,                 1.6038,             0.00065091,             0.00065091,             0.00065091
                    113,                 1.1537,                0.84151,                 1.4925,                0.70248,                0.72727,                 0.6914,                0.47599,                 1.2579,                0.97715,                 1.5954,             0.00064384,             0.00064384,             0.00064384
                    114,                 1.1504,                0.83042,                 1.5173,                0.70567,                0.69697,                 0.7035,                0.49057,                 1.3097,                0.93553,                 1.6281,             0.00063676,             0.00063676,             0.00063676
                    115,                 1.1247,                0.84433,                 1.4934,                0.69264,                 0.6803,                 0.6849,                0.48576,                  1.288,                 1.0666,                 1.6185,             0.00062969,             0.00062969,             0.00062969
                    116,                 1.1542,                0.84981,                 1.5145,                 0.6942,                0.72727,                 0.7065,                0.50016,                 1.2595,                0.94022,                 1.6008,             0.00062262,             0.00062262,             0.00062262
                    117,                 1.1195,                0.83639,                 1.5241,                  0.679,                 0.6803,                0.67482,                0.47985,                 1.3905,                 0.9688,                 1.6607,             0.00061554,             0.00061554,             0.00061554
                    118,                 1.1055,                0.78716,                 1.4904,                0.80366,                 0.6803,                0.69401,                0.50093,                 1.3522,                0.91365,                 1.6256,             0.00060847,             0.00060847,             0.00060847
                    119,                 1.1014,                0.79134,                 1.4524,                0.76688,                0.69697,                0.70982,                0.49305,                 1.3346,                 0.8804,                 1.6123,             0.00060139,             0.00060139,             0.00060139
                    120,                 1.1029,                0.81289,                 1.4857,                 0.8942,                0.72262,                0.76442,                0.50749,                 1.2978,                0.89584,                 1.5971,             0.00059432,             0.00059432,             0.00059432
                    121,                 1.1317,                0.80199,                 1.4873,                 0.8849,                0.69394,                0.75761,                0.52144,                 1.2469,                0.89208,                 1.5782,             0.00058725,             0.00058725,             0.00058725
                    122,                  1.053,                0.77648,                 1.4344,                0.68267,                0.70635,                0.71571,                0.51412,                 1.2613,                0.84713,                 1.5639,             0.00058017,             0.00058017,             0.00058017
                    123,                 1.0885,                0.78679,                 1.4594,                0.74483,                 0.6803,                0.69384,                0.50468,                 1.3364,                0.97553,                 1.5666,              0.0005731,              0.0005731,              0.0005731
                    124,                 1.1149,                0.78743,                 1.4511,                0.88141,                0.64951,                0.70452,                0.51486,                  1.322,                0.93639,                 1.5642,             0.00056603,             0.00056603,             0.00056603
                    125,                 1.0697,                0.78668,                 1.4635,                0.69329,                0.68112,                0.68685,                 0.5083,                 1.2407,                0.89564,                 1.5342,             0.00055895,             0.00055895,             0.00055895
                    126,                 1.0898,                 0.7624,                 1.4553,                0.85297,                 0.6803,                0.71789,                0.51172,                 1.2332,                0.97412,                  1.536,             0.00055188,             0.00055188,             0.00055188
                    127,                 1.1191,                0.77881,                 1.4745,                 0.8173,                0.72646,                0.71703,                0.51017,                 1.2408,                 1.0621,                 1.5518,             0.00054481,             0.00054481,             0.00054481
                    128,                 1.0956,                0.75973,                 1.4179,                0.83331,                0.68386,                0.70014,                0.52376,                 1.1927,                0.97889,                 1.5475,             0.00053773,             0.00053773,             0.00053773
                    129,                 1.1189,                0.78072,                 1.4832,                0.80686,                0.72167,                0.73124,                0.51993,                 1.2329,                 0.9399,                 1.5766,             0.00053066,             0.00053066,             0.00053066
                    130,                 1.0412,                0.79833,                 1.4241,                0.92277,                0.67563,                0.75083,                 0.5224,                 1.2543,                0.87237,                   1.56,             0.00052359,             0.00052359,             0.00052359
                    131,                 1.0884,                0.76276,                  1.444,                0.67656,                0.69394,                0.67223,                0.49332,                 1.2178,                0.97095,                 1.5364,             0.00051651,             0.00051651,             0.00051651
                    132,                 1.0456,                0.71906,                 1.4074,                0.62912,                0.66364,                 0.6616,                 0.4939,                 1.2357,                 1.0385,                 1.5494,             0.00050944,             0.00050944,             0.00050944
                    133,                  1.039,                  0.749,                 1.4273,                0.77151,                0.71325,                0.71933,                0.49334,                 1.2674,                0.88003,                 1.5641,             0.00050236,             0.00050236,             0.00050236
                    134,                 1.0727,                0.75233,                 1.4532,                0.81664,                0.69902,                0.71652,                 0.4968,                 1.2493,                0.88234,                 1.5408,             0.00049529,             0.00049529,             0.00049529
                    135,                 1.0632,                0.76847,                 1.4523,                0.89733,                 0.6761,                0.72179,                0.50786,                 1.2684,                0.86459,                 1.5646,             0.00048822,             0.00048822,             0.00048822
                    136,                 1.0566,                0.74409,                 1.4244,                0.88842,                 0.6968,                0.74945,                0.51875,                 1.3018,                0.89041,                 1.5408,             0.00048114,             0.00048114,             0.00048114
                    137,                0.99938,                0.70873,                  1.377,                0.83659,                0.69569,                0.74484,                0.51204,                 1.2774,                0.87416,                 1.5836,             0.00047407,             0.00047407,             0.00047407
                    138,                 1.0369,                0.70837,                  1.423,                0.80986,                0.70557,                0.71645,                0.51212,                 1.2337,                  0.896,                 1.5026,               0.000467,               0.000467,               0.000467
                    139,                 1.0335,                0.71498,                 1.3859,                0.73893,                0.69342,                0.70127,                0.50797,                 1.2336,                 1.0058,                 1.5324,             0.00045992,             0.00045992,             0.00045992
                    140,                 1.0183,                0.68663,                 1.3933,                 0.8506,                 0.6751,                0.70954,                0.50439,                 1.2563,                0.87911,                 1.5352,             0.00045285,             0.00045285,             0.00045285
                    141,                 1.0228,                0.70666,                 1.4059,                0.86981,                0.68098,                0.71741,                0.52445,                 1.2375,                0.90171,                  1.521,             0.00044578,             0.00044578,             0.00044578
                    142,                0.96892,                0.68988,                 1.3702,                0.73483,                0.72727,                0.71244,                0.51323,                 1.2081,                0.95645,                 1.5379,              0.0004387,              0.0004387,              0.0004387
                    143,                0.98702,                0.71108,                 1.3893,                0.87849,                0.72674,                0.74076,                0.53203,                 1.1484,                0.89374,                 1.4751,             0.00043163,             0.00043163,             0.00043163
                    144,                0.97394,                0.69033,                 1.3723,                0.90401,                0.72727,                0.75855,                 0.5242,                 1.2121,                0.84635,                 1.5008,             0.00042456,             0.00042456,             0.00042456
                    145,                 0.9947,                0.70411,                 1.3759,                0.82382,                0.72727,                0.72738,                 0.5342,                 1.2022,                 0.8092,                 1.4645,             0.00041748,             0.00041748,             0.00041748
                    146,                0.98774,                0.69652,                 1.3636,                0.89218,                0.69185,                0.72701,                0.53092,                 1.1967,                0.79795,                 1.4976,             0.00041041,             0.00041041,             0.00041041
                    147,                0.97761,                0.67038,                  1.365,                0.93227,                0.67726,                0.73011,                0.51187,                 1.2291,                0.83744,                 1.5239,             0.00040334,             0.00040334,             0.00040334
                    148,                0.94941,                0.68217,                 1.3342,                0.90481,                0.69765,                0.75983,                 0.5144,                 1.2675,                0.86297,                 1.5579,             0.00039626,             0.00039626,             0.00039626
                    149,                0.99435,                0.66336,                 1.3509,                 0.7917,                0.72424,                0.73429,                0.52637,                 1.2555,                0.90332,                 1.5466,             0.00038919,             0.00038919,             0.00038919
                    150,                0.99119,                 0.6694,                 1.3684,                0.75857,                0.67949,                0.71031,                 0.5195,                 1.2528,                 0.9577,                 1.5341,             0.00038211,             0.00038211,             0.00038211
