                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                   1.36,                 1.0609,                 1.7399,                0.94962,                0.62679,                0.67352,                0.44713,                 1.5267,                 1.2727,                 1.7698,             0.00077823,             0.00077823,             0.00077823
                     95,                 1.3205,                 1.0086,                 1.6598,                      1,                0.59964,                 0.6474,                0.44635,                 1.5625,                 1.1762,                 1.7906,             0.00077116,             0.00077116,             0.00077116
                     96,                 1.3193,                0.99852,                 1.6834,                0.65027,                0.71061,                 0.7293,                0.48718,                  1.389,                0.98333,                 1.7184,             0.00076409,             0.00076409,             0.00076409
                     97,                 1.3211,                 1.0621,                 1.6995,                0.81883,                0.70919,                0.72677,                0.48331,                 1.4118,                0.96585,                 1.6901,             0.00075701,             0.00075701,             0.00075701
                     98,                 1.3407,                  1.032,                 1.6839,                0.68047,                0.62407,                0.66114,                0.46497,                 1.4009,                 1.1554,                 1.6786,             0.00074994,             0.00074994,             0.00074994
                     99,                 1.3355,                0.96132,                 1.6302,                0.90941,                0.61255,                0.74021,                0.48334,                 1.3817,                  1.063,                 1.6592,             0.00074287,             0.00074287,             0.00074287
                    100,                  1.323,                0.96944,                 1.6973,                0.74287,                 0.6729,                0.69832,                0.46544,                 1.4238,                 1.0151,                 1.6855,             0.00073579,             0.00073579,             0.00073579
                    101,                 1.2979,                 1.0319,                 1.6303,                0.89959,                0.68999,                0.72074,                 0.4932,                 1.3809,                 1.0524,                 1.6744,             0.00072872,             0.00072872,             0.00072872
                    102,                 1.3043,                0.99466,                  1.652,                0.96441,                0.58165,                0.66437,                0.47581,                 1.3504,                 1.0672,                  1.674,             0.00072164,             0.00072164,             0.00072164
                    103,                 1.2782,                0.97575,                 1.6411,                  0.986,                0.59487,                0.66112,                0.45651,                 1.3906,                 1.0893,                 1.6532,             0.00071457,             0.00071457,             0.00071457
                    104,                 1.2964,                0.98059,                 1.6413,                0.98412,                0.59933,                 0.6438,                0.45428,                 1.4612,                 1.0863,                 1.7109,              0.0007075,              0.0007075,              0.0007075
                    105,                 1.2457,                0.95625,                 1.6217,                0.64967,                0.72446,                0.67671,                0.48412,                 1.3512,                 1.0274,                 1.6287,             0.00070042,             0.00070042,             0.00070042
                    106,                 1.2587,                0.96881,                 1.6302,                0.98707,                0.61598,                0.65823,                  0.478,                 1.4265,                0.99626,                 1.6947,             0.00069335,             0.00069335,             0.00069335
                    107,                 1.2859,                 0.9585,                  1.643,                0.98331,                0.63258,                0.67901,                0.47492,                 1.3759,                0.99512,                 1.6489,             0.00068628,             0.00068628,             0.00068628
                    108,                 1.2317,                0.92408,                 1.5693,                 0.7965,                0.74091,                0.74701,                0.50274,                 1.3077,                0.93245,                 1.6223,              0.0006792,              0.0006792,              0.0006792
                    109,                 1.2454,                0.94144,                 1.6091,                 0.8495,                0.68029,                0.72292,                  0.514,                 1.3129,                0.92257,                 1.6755,             0.00067213,             0.00067213,             0.00067213
                    110,                 1.2527,                0.97418,                 1.6262,                0.61389,                0.66364,                0.70295,                0.48728,                  1.415,                 1.0367,                 1.7068,             0.00066506,             0.00066506,             0.00066506
                    111,                 1.2504,                0.93527,                 1.6065,                 0.7252,                0.71061,                0.71547,                0.50462,                 1.3992,                0.90613,                 1.6761,             0.00065798,             0.00065798,             0.00065798
                    112,                 1.2035,                0.91823,                 1.6017,                0.70863,                0.72424,                0.71383,                0.46744,                 1.4689,                0.95598,                 1.7221,             0.00065091,             0.00065091,             0.00065091
                    113,                  1.231,                0.91555,                 1.5593,                0.88421,                0.69462,                 0.7431,                0.47814,                 1.4541,                 1.0056,                 1.7166,             0.00064384,             0.00064384,             0.00064384
                    114,                 1.2229,                0.86867,                 1.6201,                0.69127,                0.69802,                0.69783,                0.49659,                 1.3609,                0.97862,                 1.6596,             0.00063676,             0.00063676,             0.00063676
                    115,                 1.1723,                0.89125,                 1.5544,                0.83524,                0.72158,                 0.7424,                0.48359,                 1.3966,                  1.001,                 1.6914,             0.00062969,             0.00062969,             0.00062969
                    116,                 1.2262,                0.92037,                 1.5807,                0.69884,                0.70032,                 0.6843,                0.49238,                 1.2755,                 1.0198,                 1.6258,             0.00062262,             0.00062262,             0.00062262
                    117,                 1.1726,                0.90733,                 1.5683,                0.72444,                 0.6803,                0.68136,                 0.4853,                 1.3799,                 1.0211,                 1.6664,             0.00061554,             0.00061554,             0.00061554
                    118,                 1.2015,                0.87623,                 1.5785,                0.72194,                0.72128,                0.73266,                 0.4942,                 1.3899,                0.97099,                 1.6485,             0.00060847,             0.00060847,             0.00060847
                    119,                 1.1787,                0.85487,                 1.5541,                0.77705,                0.70325,                0.70333,                0.50796,                 1.3745,                0.89894,                 1.6532,             0.00060139,             0.00060139,             0.00060139
                    120,                 1.1533,                 0.8934,                 1.5525,                0.93639,                0.70413,                0.72241,                0.51099,                 1.2946,                0.87806,                 1.6324,             0.00059432,             0.00059432,             0.00059432
                    121,                 1.2033,                0.87295,                 1.5724,                0.79839,                0.74799,                0.72624,                0.49138,                 1.2748,                0.80138,                 1.5844,             0.00058725,             0.00058725,             0.00058725
                    122,                 1.1548,                 0.8858,                 1.5419,                0.75362,                0.66364,                0.66531,                0.49246,                 1.2877,                0.88706,                 1.6051,             0.00058017,             0.00058017,             0.00058017
                    123,                 1.1588,                0.86446,                 1.5432,                 0.7482,                0.66948,                0.67867,                0.49913,                 1.3326,                0.88064,                 1.6039,              0.0005731,              0.0005731,              0.0005731
                    124,                 1.1656,                0.86086,                 1.5125,                 0.6981,                0.69632,                0.68776,                0.50484,                 1.3305,                0.96482,                 1.6092,             0.00056603,             0.00056603,             0.00056603
                    125,                 1.1324,                0.82262,                 1.5023,                 0.6522,                0.71061,                0.69586,                0.48936,                 1.2978,                 0.8637,                 1.6056,             0.00055895,             0.00055895,             0.00055895
                    126,                  1.157,                0.84137,                 1.5128,                0.80877,                0.66364,                0.68214,                0.49081,                 1.3104,                0.93205,                 1.6146,             0.00055188,             0.00055188,             0.00055188
                    127,                  1.178,                0.83658,                 1.5451,                0.85883,                0.66336,                0.68371,                0.49335,                 1.2893,                0.93065,                 1.6314,             0.00054481,             0.00054481,             0.00054481
                    128,                 1.1103,                0.82629,                  1.491,                0.86882,                0.66364,                0.70031,                0.50166,                 1.3502,                0.87619,                 1.6206,             0.00053773,             0.00053773,             0.00053773
                    129,                 1.1148,                0.83004,                 1.5113,                0.67396,                0.66364,                0.69705,                0.50406,                 1.3458,                0.88819,                 1.5928,             0.00053066,             0.00053066,             0.00053066
                    130,                 1.0816,                0.84222,                 1.4871,                0.82413,                0.72424,                0.74717,                0.50724,                 1.3258,                0.87549,                 1.6004,             0.00052359,             0.00052359,             0.00052359
                    131,                 1.1565,                0.80399,                 1.5136,                0.84188,                0.76114,                0.76645,                0.50964,                 1.3258,                0.93454,                 1.6564,             0.00051651,             0.00051651,             0.00051651
                    132,                 1.0908,                0.79137,                 1.4624,                0.92474,                 0.6917,                 0.7377,                0.52846,                 1.2295,                0.89735,                 1.5789,             0.00050944,             0.00050944,             0.00050944
                    133,                  1.115,                0.78505,                   1.49,                0.80641,                0.71061,                0.74293,                0.51627,                   1.29,                0.93187,                 1.6517,             0.00050236,             0.00050236,             0.00050236
                    134,                 1.1373,                0.82012,                 1.5028,                0.85695,                0.70957,                0.76306,                0.52607,                  1.277,                0.85636,                  1.582,             0.00049529,             0.00049529,             0.00049529
                    135,                 1.1502,                0.84416,                 1.5184,                0.90151,                0.72424,                0.76335,                0.51781,                  1.302,                0.89522,                 1.6198,             0.00048822,             0.00048822,             0.00048822
                    136,                 1.1234,                0.81528,                 1.4772,                0.73892,                0.72589,                0.73142,                0.50742,                  1.251,                0.92391,                 1.5521,             0.00048114,             0.00048114,             0.00048114
                    137,                 1.0509,                0.76901,                 1.4393,                0.76466,                0.70937,                0.71654,                0.48491,                 1.2725,                0.95095,                 1.5745,             0.00047407,             0.00047407,             0.00047407
                    138,                 1.0782,                0.77367,                 1.4426,                0.63112,                0.69562,                 0.6583,                 0.4757,                 1.2487,                0.95663,                 1.5529,               0.000467,               0.000467,               0.000467
                    139,                 1.1069,                0.78808,                 1.4603,                0.68113,                0.66364,                0.66778,                0.47818,                 1.3616,                0.91019,                 1.6057,             0.00045992,             0.00045992,             0.00045992
                    140,                 1.0409,                 0.7398,                 1.4267,                0.63073,                0.68719,                0.67538,                0.49408,                 1.2754,                0.92219,                 1.6091,             0.00045285,             0.00045285,             0.00045285
                    141,                  1.075,                0.76545,                 1.4527,                0.86348,                0.66364,                0.69959,                0.50817,                 1.3202,                0.89015,                 1.6013,             0.00044578,             0.00044578,             0.00044578
                    142,                 1.0706,                0.76326,                 1.4757,                0.78199,                0.65082,                0.69419,                0.51151,                 1.3043,                0.90752,                 1.6168,              0.0004387,              0.0004387,              0.0004387
                    143,                 1.0503,                0.78217,                 1.4537,                0.79762,                0.67769,                0.70415,                0.50887,                 1.2382,                0.85733,                 1.5174,             0.00043163,             0.00043163,             0.00043163
                    144,                 1.0861,                0.77141,                 1.4558,                0.66873,                0.71061,                0.70944,                0.51716,                  1.263,                0.86135,                 1.5392,             0.00042456,             0.00042456,             0.00042456
                    145,                  1.059,                0.75692,                 1.4519,                0.75246,                0.72799,                0.72097,                 0.5066,                 1.2381,                 0.8438,                 1.5306,             0.00041748,             0.00041748,             0.00041748
                    146,                 1.0703,                0.74716,                 1.4487,                0.72652,                0.73835,                0.71816,                0.50767,                 1.3022,                0.84888,                 1.5875,             0.00041041,             0.00041041,             0.00041041
                    147,                 1.0342,                0.73697,                  1.399,                 0.8611,                0.66364,                0.69294,                0.50968,                 1.2172,                0.85692,                 1.5536,             0.00040334,             0.00040334,             0.00040334
                    148,                 1.0377,                0.72483,                  1.412,                0.78531,                0.66364,                0.68606,                0.50904,                 1.2473,                0.83578,                 1.5936,             0.00039626,             0.00039626,             0.00039626
                    149,                 1.0422,                0.74375,                 1.4026,                0.76835,                0.65962,                0.69285,                0.50009,                 1.2418,                0.87231,                 1.5929,             0.00038919,             0.00038919,             0.00038919
                    150,                 1.0313,                 0.7263,                 1.4315,                0.77591,                0.66322,                0.67028,                0.50461,                 1.2472,                0.89323,                 1.5403,             0.00038211,             0.00038211,             0.00038211
