                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.8661,                 1.7705,                 2.1739,                0.45794,                 0.4022,                0.49722,                0.29263,                 1.8934,                 2.1326,                  2.161,              0.0011319,              0.0011319,              0.0011319
                     45,                 1.7547,                 1.7169,                  2.111,                0.73564,                0.45171,                0.55807,                0.32099,                 1.8491,                 1.7736,                 2.1848,              0.0011248,              0.0011248,              0.0011248
                     46,                 1.8042,                 1.6582,                 2.1092,                0.76688,                0.48846,                0.54868,                 0.3308,                 1.8824,                 1.6934,                 2.1603,              0.0011178,              0.0011178,              0.0011178
                     47,                 1.8152,                 1.6551,                 2.1639,                0.88992,                0.49976,                0.56556,                0.34366,                 1.8019,                 1.6524,                  2.104,              0.0011107,              0.0011107,              0.0011107
                     48,                 1.7672,                 1.7247,                 2.1001,                0.92118,                0.59385,                 0.5998,                0.36802,                 1.8459,                 1.5928,                 2.1641,              0.0011036,              0.0011036,              0.0011036
                     49,                 1.7484,                  1.659,                 2.0621,                0.88049,                0.51272,                0.57386,                0.31713,                 1.8783,                 1.8723,                 2.1831,              0.0010965,              0.0010965,              0.0010965
                     50,                 1.7017,                 1.6471,                 2.0801,                0.90953,                 0.5141,                0.57296,                0.34124,                  1.764,                 1.5774,                 2.0359,              0.0010895,              0.0010895,              0.0010895
                     51,                 1.7328,                 1.5863,                 2.0852,                 0.8535,                0.48966,                0.54957,                0.31952,                  1.903,                 1.7727,                 2.1649,              0.0010824,              0.0010824,              0.0010824
                     52,                 1.6852,                 1.6007,                 2.0416,                0.87063,                0.37075,                0.43895,                0.25698,                 2.1284,                 2.3726,                 2.2961,              0.0010753,              0.0010753,              0.0010753
                     53,                 1.7027,                 1.6238,                 2.0978,                0.83552,                 0.5516,                0.59981,                0.34878,                  1.815,                 1.6803,                 2.0655,              0.0010682,              0.0010682,              0.0010682
                     54,                 1.7723,                 1.6558,                 2.0659,                0.84692,                0.51795,                0.59755,                0.34201,                 1.7915,                 1.6925,                 2.0768,              0.0010612,              0.0010612,              0.0010612
